class,weekday,subjects
1A,Sunday,"English, Math, Social Studies, Science, ICT, Islamic, Arabic"
1A,Monday,"English, Math, Science, Arabic,  Islamic"
1A,Tuesday,"Arabic, Islamic, Math, English, Science"
1A,Wednesday,"Arabic, Islamic, Math, English, Social Studies, ICT"
1A,Thursday," Arabic, Life Skills, English, Science"
2A,Sunday,"Social Studies, Arabic, Science, English, Islamic, Math"
2A,Monday,"English, Science,  ICT, Arabic, Islamic, Math"
2A,Tuesday,"English, Arabic, Math"
2A,Wednesday,"English,  Social Studies, Islamic, Arabic, Science, Math"
2A,Thursday,"English, Life Skills, Islamic, Math, Science, Arabic"
 3A,Sunday," Math, Islamic, Science, English, Life Skills, Arabic"
 3A,Monday,"Arabic, ICT, English, Islamic, Math, Social Studies"
 3A,Tuesday,"Arabic, Math, English, ICT, Islamic, Science"
 3A,Wednesday,"English, Science, Islamic, Math,   Arabic"
 3A,Thursday,"Arabic,  Math, English, ICT, Islamic, Science"
 4A,Sunday,"Arabic, Islamic, Math, Social Arabic, ICT, Science, English"
 4A,Monday,"Arabic, Science, English,  Life Skills, Islamic, Math"
 4A,Tuesday,"English, Arabic, Islamic, Math, Science"
 4A,Wednesday,"English, Islamic, Science, Social Studies, ICT, Arabic, Math"
 4A,Thursday,"Math, French, Social Arabic, English, ICT, Islamic, Math, Science, Social Studies"
 4B,Sunday,"French, English, Social Arabic, Islamic, Math, Science"
 4B,Monday,"Arabic, ICT, English, Islamic, Math, Science, Social Studies"
 4B,Tuesday,"Arabic, English,  Islamic, Life Skills, Math"
 4B,Wednesday,"Arabic, English,  Islamic, Math,  Science"
 4B,Thursday,"Arabic, ICT, English, Islamic, Math, Science, Social Studies"
 4C,Sunday,"Arabic, English,  Islamic, Math, Science, Social Studies"
 4C,Monday,"Arabic, ICT,  Islamic, Math, Social Arabic, Science"
 4C,Tuesday,"Arabic, ICT, English, French, Islamic, Math, Science"
 4C,Wednesday,"English, Islamic, Math, Social Arabic, Science, Social Studies"
 4C,Thursday,"Arabic, English, Islamic, Life Skills, Math,  Science"
 5A,Sunday,"Islamic,  Science,  Arabic, Social Arabic, English, Math"
 5A,Monday,"Arabic, English, Islamic, Math,  Science, Social Studies"
 5A,Tuesday,"Arabic, ICT, English, Islamic, Math, Science, French"
 5A,Wednesday,"English, Islamic, Math, Social Arabic, Science, Social Studies"
 5A,Thursday,"Arabic, English, Islamic, Life Skills, Math,  Science"
 5B,Sunday,"Arabic,  English,  Islamic, Math, Science, Social Studies"
 5B,Monday,"Arabic, ICT, English, Islamic, Math, Science, Social Studies"
 5B,Tuesday,"Arabic, English,  Islamic, Life Skills, Math"
 5B,Wednesday,"Arabic, English,  Islamic, Math,  Science"
 5B,Thursday,"Arabic, ICT, English, Islamic, Math, Science, Social Studies"
 5C,Sunday,"Arabic, Islamic, Science, Social Arabic, ICT, Math, English"
 5C,Monday,"Arabic,  English,  Social Arabic, Islamic, Science, Math"
 5C,Tuesday,"ICT, Arabic, English, French,  Social Studies, Islamic, Math"
 5C,Wednesday,"English, Arabic, Islamic, Math, Science, Social Arabic"
 5C,Thursday,"English, Islamic, Math, Arabic, Science, Life Skills, French, Social Studies"
 6A,Sunday,"French,  English, Life Skills, Arabic, Islamic, Math, Science"
 6A,Monday,"Arabic, English, Islamic, Math, Social Arabic, Science, Social Studies"
 6A,Tuesday,"English, Arabic, Islamic, Math, Social Arabic, Science"
 6A,Wednesday,"English, Islamic, Math, Arabic, Science,  Computer"
 6A,Thursday,"Social Arabic, Math, Science, Arabic, Islamic, English, ICT, English"
 6B,Sunday,"Islamic, Science, French, Arabic,  English, Math"
 6B,Monday,"Social Arabic, Social Studies, Math,  Arabic, Islamic, Science"
 6B,Tuesday,"English, Islamic, Math, French, ICT, Arabic, Science"
 6B,Wednesday,"English, Arabic, Islamic, Math, Social Arabic, Science, Life Skills"
 6B,Thursday,"English, Arabic, Islamic, Science, Math, ICT"
 6C,Sunday,"Social Arabic, Social Studies, Math, Arabic, Islamic, Science, English"
 6C,Monday,"Arabic, Islamic, English, Math,  English, Science"
 6C,Tuesday,"English, Arabic, Math, Islamic, Social Arabic, Science, French"
 6C,Wednesday,"English, Arabic, Islamic, Math,  Science, Social Studies"
 6C,Thursday,"Arabic, English, Islamic, Life Skills, Math,  Science"
 6G,Sunday,"Islamic, English, Science, Arabic,  Math"
 6G,Monday,"Arabic, English,  ICT, Arabic, Islamic, Math, Science"
 6G,Tuesday,"English, Arabic, Math, Islamic, Social Arabic, Science, French"
 6G,Wednesday,"English, Arabic, Islamic, Math,  Science, Life Skills"
 6G,Thursday,"Arabic, English, Islamic, Science, Math, ICT"
 7A,Sunday,"Arabic, Math, English, Science, French, ICT, Islamic"
 7A,Monday,"English, Math, Social Studies, English, Science, Arabic, ICT, Islamic"
 7A,Tuesday,"English, Math, Islamic,  Social Arabic, Arabic, Life Skills, English"
 7A,Wednesday,"Math, English, English,  Islamic, Social Arabic, English, Math, Social Studies, Science"
 7A,Thursday,"Science, Math, English, English"
 7B,Sunday,"  Islamic, English, Math, Life Skills, Arabic, Science"
 7B,Monday,"Arabic, Islamic, English, Math, English, Science, Social Studies"
 7B,Tuesday,"English, Science, Arabic, Islamic, Math"
 7B,Wednesday,"English, English, Math, Social Studies, Arabic, Science, Islamic"
 7B,Thursday,"English, English, Islamic, Science, Math, ICT, Arabic, French"
 7C,Sunday," Islamic, English, Science, Math, ICT, Life Skills"
 7C,Monday,"Arabic, Islamic, English, Math,  English, Science"
 7C,Tuesday,"English, English, Arabic, Islamic, Math, Science, French"
 7C,Wednesday,"English, English, Islamic, Science, Arabic, Math, Social Studies"
 7C,Thursday,"Science, English, Arabic, Islamic, Math, English, Social Arabic"
 7G,Sunday,"Arabic, Math, English, English, ICT,  Islamic, Science"
 7G,Monday,"Social Arabic, ICT, Social Studies, Islamic, Math, English, English, Science"
 7G,Tuesday,"English, Arabic, Math, Islamic, Social Arabic, Science, French"
 7G,Wednesday,"English, English, Math, Arabic, Islamic, Science, Life Skills"
 7G,Thursday,"English, Islamic, Science, Math, ICT, Arabic, English"
 8A,Sunday,"ICT, Math, English, Science, Arabic, Islamic, Social Studies"
 8A,Monday,"Arabic, English,  Islamic, Life Skills, Math, Science"
 8A,Tuesday,"English, Arabic, Math, Science, Social Arabic, French"
 8A,Wednesday,"English, Arabic, Math, Islamic, Social Arabic, Science, Computer"
 8A,Thursday,"Islamic, Science, Math, ICT, Life Skills, English"
 8G,Sunday,"Social Studies, Islamic, English, Science, Arabic,  Math"
 8G,Monday,"Social Arabic,  English, Arabic, Math, Islamic, Science"
 8G,Tuesday,"English, Arabic, Math, Islamic, ICT, Science, French"
 8G,Wednesday,"English, Arabic, Math, Islamic, Social Arabic, Science"
 8G,Thursday,"English, Islamic, Science, Math, ICT, Life Skills"
 9A,Sunday,"Arabic, ICT, English, Islamic, Math, Social Arabic, Science"
 9A,Monday,"Arabic, English,  Islamic, Math, Science"
 9A,Tuesday,"English, French, Islamic,  Social Arabic, Science, Social Studies"
 9A,Wednesday,"Arabic, English, Islamic, Math,  Science"
 9A,Thursday,"English,  French, Islamic, Math, Social Arabic, Science, Social Studies"
 9B,Sunday,"English, French, Islamic, Math,  Social Arabic, Science"
 9B,Monday,"Arabic, ICT, English, Islamic, Math, Science, Social Studies"
 9B,Tuesday,"Arabic, English,  Islamic, Math"
 9B,Wednesday,"Arabic, English,  Islamic, Math,  Science"
 9B,Thursday,"Arabic, ICT, English, Islamic, Math, Science, Social Studies"
 9C,Sunday,"Arabic, English,  Islamic, Math, Science, Social Studies"
 9C,Monday,"Arabic, ICT,  Islamic, Math, Social Arabic, Science"
 9C,Tuesday,"Arabic, ICT, English, French, Islamic, Math, Science"
 9C,Wednesday,"English, Islamic, Math, Social Arabic, Science, Social Studies"
 9C,Thursday,"Arabic, English, Islamic, Math,  Science"
 10A,Sunday,"Arabic, ICT, English, Islamic, Math,  Social Arabic, Biology"
 10A,Monday,"Arabic, English, Islamic, Math, Biology"
 10A,Tuesday,"English, Islamic, Social Arabic, Biology, World History"
 10A,Wednesday,"Arabic, English,  Islamic, Math,  Biology"
